config,run,test_PCIP,test_MPIW,test_CWC,loss_sample,loss_coverage,loss_width,train_time_sec,gpu_mem_MB,param_count
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(0)_use_width_loss(1),0,0.0,0.031847414,271.6241831331616,0.0,0.0,0.00042200047755613923,2.04,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(0)_use_width_loss(1),1,0.0,0.032510024,277.275552014382,0.0,0.0,0.0004246898170094937,2.04,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(0)_use_width_loss(1),2,0.0,0.032567237,277.76351403874816,0.0,0.0,0.0004192458582110703,2.01,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(0)_use_width_loss(1),3,0.0,0.03412032,291.00964668038813,0.0,0.0,0.00042626415961422026,2.01,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(0)_use_width_loss(1),4,0.0,0.03356873,286.30515900514547,0.0,0.0,0.00041551407775841653,1.99,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),0,0.96,0.45958856,0.7491316737729734,0.0037450529634952545,0.0003999992331955582,0.020840903744101524,2.6,65.8,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),1,0.96,0.44882026,0.7315793320495523,0.003583913901820779,0.0004515628970693797,0.021153811365365982,2.22,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),2,0.91,0.36228076,0.7262623416238246,0.0028771848883479834,0.0008265626383945346,0.017301833257079124,2.21,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),3,0.91,0.35913113,0.7199483132122088,0.0028687252197414637,0.0006890627555549145,0.01704435609281063,2.2,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),4,0.875,0.32219708,0.7744847774610979,0.002385740866884589,0.0010562518145889044,0.014845606870949268,2.2,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(0),0,0.965,1.1519063,1.8451649404037909,0.0,0.010000004433095455,0.0,2.12,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(0),1,0.965,1.0472695,1.677554086583431,0.0,0.010000004433095455,0.0,2.1,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(0),2,0.965,1.1789412,1.8884706087302208,4.619359827984226e-08,0.009751561097800732,0.0,2.11,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(0),3,0.965,1.1133668,1.783431115782928,2.1755694135094927e-08,0.009751561097800732,0.0,2.05,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(0),4,0.965,1.1827961,1.8946454427282726,0.0,0.010000004433095455,0.0,2.04,65.81,9090
dual_output(1)_fixed_margin(0.05)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),0,0.46,0.10000002,8.67732126957163,0.039477813988924026,0.1859765350818634,0.005000000819563866,2.05,65.81,9025
dual_output(1)_fixed_margin(0.05)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),1,0.425,0.10000002,12.269601378443488,0.04109334945678711,0.19802498817443848,0.005000000819563866,2.08,65.81,9025
dual_output(1)_fixed_margin(0.05)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),2,0.39,0.10000002,17.367289506400596,0.04197727143764496,0.19802498817443848,0.005000000819563866,2.08,65.81,9025
dual_output(1)_fixed_margin(0.05)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),3,0.45,0.10000002,9.578854681793992,0.039985932409763336,0.2013765573501587,0.005000000819563866,2.04,65.81,9025
dual_output(1)_fixed_margin(0.05)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),4,0.445,0.10000002,10.064577173873126,0.041716087609529495,0.19802498817443848,0.005000000819563866,2.05,65.81,9025
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(1)_use_width_loss(1),0,0.0,0.03382903,288.525245832208,0.0,0.807751476764679,0.0004228629113640636,2.02,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(1)_use_width_loss(1),1,0.0,0.035828307,305.57692676670337,0.0,0.807751476764679,0.0004409664834383875,2.02,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(1)_use_width_loss(1),2,0.0,0.033706848,287.4831753505495,0.0,0.807751476764679,0.00041117813088931143,2.01,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(1)_use_width_loss(1),3,0.0,0.031389333,267.7172566012527,0.0,0.807751476764679,0.0004227721074130386,2.13,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(1)_use_width_loss(1),4,0.0,0.03428192,292.3879137284848,0.0,0.807751476764679,0.0004254800733178854,2.11,65.81,9090
dual_output(0)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),0,0.655,0.30266652,4.009806513570254,0.0022630696184933186,6.249988018680597e-06,0.017422053962945938,2.11,65.81,9090
dual_output(0)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),1,0.7,0.30288905,2.6741578393437933,0.0027428625617176294,0.0002640629536472261,0.016260569915175438,2.13,65.81,9090
dual_output(0)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),2,0.795,0.3216817,1.3059895116077485,0.0020704781636595726,2.4999952074722387e-05,0.01674630679190159,2.15,65.81,9090
dual_output(0)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),3,0.64,0.31601128,4.810314651681115,0.002669523935765028,1.4062697118788492e-05,0.021513579413294792,1.98,65.81,9090
dual_output(0)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),4,0.64,0.29488906,4.48879309313315,0.0023755787406116724,1.5625714695488568e-06,0.01710178516805172,2.13,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(0)_use_width_loss(0),0,0.965,1.1257188,1.80321700253127,4.4606625237975095e-07,0.0,0.0,1.86,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(0)_use_width_loss(0),1,0.965,1.2214825,1.9566147790595692,0.0,0.0,0.0,1.99,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(0)_use_width_loss(0),2,0.965,1.1434695,1.8316505962372152,0.0,0.0,0.0,1.97,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(0)_use_width_loss(0),3,0.965,1.1477758,1.8385486580301729,0.0,0.0,0.0,1.98,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(0)_use_width_loss(0),4,0.965,1.1532336,1.8472912591515334,0.0,0.0,0.0,1.97,65.81,9090
dual_output(1)_fixed_margin(0.10)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),0,0.705,0.20000003,1.6899155251567055,0.022020427510142326,0.009506243281066418,0.009999999776482582,2.03,65.81,9025
dual_output(1)_fixed_margin(0.10)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),1,0.725,0.20000003,1.421740205216615,0.02371513843536377,0.009506243281066418,0.010000001639127731,2.03,65.81,9025
dual_output(1)_fixed_margin(0.10)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),2,0.715,0.20000002,1.5491289539227953,0.022383157163858414,0.0072249965742230415,0.009999999776482582,2.07,65.81,9025
dual_output(1)_fixed_margin(0.10)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),3,0.71,0.20000002,1.6177627156161518,0.02243844047188759,0.008556244894862175,0.009999999776482582,2.05,65.81,9025
dual_output(1)_fixed_margin(0.10)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),4,0.74,0.20000003,1.2530219683810597,0.022574931383132935,0.010764060541987419,0.009999999776482582,2.07,65.81,9025
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(0)_use_width_loss(1),0,0.925,0.43259278,0.8098357321640999,0.003817836055532098,0.0,0.02114725671708584,2.12,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(0)_use_width_loss(1),1,0.955,0.5232222,0.8683491998654854,0.004022833425551653,0.0,0.02407211810350418,2.1,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(0)_use_width_loss(1),2,0.945,0.5191528,0.8947483059522632,0.004195006564259529,0.0,0.023227442055940628,2.11,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(0)_use_width_loss(1),3,0.945,0.3369741,0.5807673366679192,0.0017848140560090542,0.0,0.014523840509355068,2.1,65.81,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(0)_use_width_loss(1),4,0.785,0.341452,1.4942547838179965,0.0030833606142550707,0.0,0.017367370426654816,2.11,65.81,9090
